Seletor,Modelo,Quantidade de Features,Acurácia,F1 Score,Precision,Recall
INFOGAIN,GaussianNB,200,0.4080666,0.4632199,0.8656166,0.4080666
INFOGAIN,GaussianNB,150,0.3998222,0.4537449,0.8630326,0.3998222
INFOGAIN,GaussianNB,100,0.4059705,0.4604812,0.8667965,0.4059705
INFOGAIN,GaussianNB,75,0.3537856,0.3947887,0.8664676,0.3537856
INFOGAIN,GaussianNB,50,0.3230310,0.3537793,0.8629529,0.3230310
INFOGAIN,GaussianNB,10,0.6473577,0.7037870,0.8525891,0.6473577
INFOGAIN,GaussianNB,5,0.8264990,0.8051103,0.7891552,0.8264990
INFOGAIN,MultGaussianNB,399,0.7437754,0.7801595,0.8559668,0.7437754
INFOGAIN,MultGaussianNB,300,0.7409553,0.7779473,0.8551835,0.7409553
INFOGAIN,MultGaussianNB,200,0.7452490,0.7811598,0.8552151,0.7452490
INFOGAIN,MultGaussianNB,150,0.7513084,0.7854642,0.8538845,0.7513084
INFOGAIN,MultGaussianNB,100,0.7686611,0.7976353,0.8512296,0.7686611
INFOGAIN,MultGaussianNB,75,0.7821265,0.8058851,0.8455050,0.7821265
INFOGAIN,MultGaussianNB,50,0.7794970,0.8041539,0.8458712,0.7794970
INFOGAIN,MultGaussianNB,10,0.8666540,0.8047438,0.7510891,0.8666540
INFOGAIN,MultGaussianNB,5,0.8666540,0.8047438,0.7510891,0.8666540
INFOGAIN,XGBoost,399,0.9678728,0.1677282,0.7979798,0.09371293
INFOGAIN,XGBoost,300,0.9678113,0.1594436,0.8142077,0.08837485
INFOGAIN,XGBoost,200,0.9681801,0.1839201,0.8064516,0.1037960
INFOGAIN,XGBoost,150,0.9682006,0.1848739,0.8073394,0.1043891
INFOGAIN,XGBoost,100,0.9681597,0.1889353,0.7869565,0.1073547
INFOGAIN,XGBoost,75,0.9682211,0.1934477,0.7848101,0.1103203
INFOGAIN,XGBoost,50,0.9682211,0.1858268,0.8082192,0.1049822
INFOGAIN,XGBoost,10,0.9675655,0.2182716,0.6519174,0.1310795
INFOGAIN,XGBoost,5,0.9650248,0.2004684,0.4766147,0.1269276
INFOGAIN,GradientBoostingClassifier,399,0.9135925,0.9057451,0.9062886,0.9135925
INFOGAIN,GradientBoostingClassifier,300,0.9134273,0.9054646,0.9060859,0.9134273
INFOGAIN,GradientBoostingClassifier,200,0.9126016,0.9042451,0.9050712,0.9126016
INFOGAIN,GradientBoostingClassifier,150,0.9123095,0.9039613,0.9047034,0.9123095
INFOGAIN,GradientBoostingClassifier,100,0.9111280,0.9027098,0.9032253,0.9111280
INFOGAIN,GradientBoostingClassifier,75,0.9112932,0.9021836,0.9034816,0.9112932
INFOGAIN,GradientBoostingClassifier,50,0.9115981,0.9029048,0.9038262,0.9115981
INFOGAIN,GradientBoostingClassifier,10,0.9092607,0.9001850,0.9008760,0.9092607
INFOGAIN,GradientBoostingClassifier,5,0.9033791,0.8881175,0.8948549,0.9033791
PEARSON,RandomForestClassifier,399,0.9933054,0.9933050,0.9933046,0.9933054
PEARSON,RandomForestClassifier,300,0.9928989,0.9928962,0.9928937,0.9928989
PEARSON,RandomForestClassifier,200,0.9926702,0.9926674,0.9926649,0.9926702
PEARSON,RandomForestClassifier,150,0.9921748,0.9921691,0.9921643,0.9921748
PEARSON,RandomForestClassifier,100,0.9905488,0.9905339,0.9905231,0.9905488
PEARSON,RandomForestClassifier,75,0.9891006,0.9890741,0.9890573,0.9891006
PEARSON,RandomForestClassifier,50,0.9677591,0.9672216,0.9670975,0.9677591
PEARSON,RandomForestClassifier,10,0.8801321,0.8566880,0.8586464,0.8801321
PEARSON,RandomForestClassifier,5,0.8783028,0.8535995,0.8553514,0.8783028
PEARSON,SVC,399,0.8883511,0.8719041,0.8722466,0.8883511
PEARSON,SVC,300,0.8885544,0.8720159,0.8725262,0.8885544
PEARSON,SVC,200,0.8882749,0.8716165,0.8721054,0.8882749
PEARSON,SVC,150,0.8884019,0.8718495,0.8723041,0.8884019
PEARSON,SVC,100,0.8868013,0.8703450,0.8700331,0.8868013
PEARSON,SVC,75,0.8853786,0.8702423,0.8685095,0.8853786
PEARSON,SVC,50,0.8847942,0.8688791,0.8674094,0.8847942
PEARSON,SVC,10,0.8797256,0.8560808,0.8579319,0.8797256
PEARSON,SVC,5,0.8782520,0.8535041,0.8552570,0.8782520
PEARSON,GaussianNB,399,0.4342861,0.4942338,0.8643176,0.4342861
PEARSON,GaussianNB,300,0.4471799,0.5085627,0.8662392,0.4471799
PEARSON,GaussianNB,200,0.4589685,0.5212324,0.8691678,0.4589685
PEARSON,GaussianNB,150,0.4539634,0.5156373,0.8693864,0.4539634
PEARSON,GaussianNB,100,0.5096545,0.5763819,0.8600847,0.5096545
PEARSON,GaussianNB,75,0.4498603,0.5129050,0.8583361,0.4498603
PEARSON,GaussianNB,50,0.3459477,0.3851044,0.8628002,0.3459477
PEARSON,GaussianNB,10,0.7930513,0.8101654,0.8345629,0.7930513
PEARSON,GaussianNB,5,0.7859375,0.8049928,0.8327008,0.7859375
PEARSON,MultGaussianNB,399,0.7437754,0.7801595,0.8559668,0.7437754
PEARSON,MultGaussianNB,300,0.7432292,0.7797386,0.8558719,0.7432292
PEARSON,MultGaussianNB,200,0.7436103,0.7799742,0.8554948,0.7436103
PEARSON,MultGaussianNB,150,0.7426321,0.7792275,0.8553768,0.7426321
PEARSON,MultGaussianNB,100,0.7397866,0.7768186,0.8532220,0.7397866
PEARSON,MultGaussianNB,75,0.7566692,0.7890990,0.8519796,0.7566692
PEARSON,MultGaussianNB,50,0.7306529,0.7690934,0.8463251,0.7306529
PEARSON,MultGaussianNB,10,0.8708460,0.8159853,0.8705196,0.8708460
PEARSON,MultGaussianNB,5,0.8666540,0.8047438,0.7510891,0.8666540
PEARSON,XGBoost,399,0.9679343,0.1608579,0.8379888,0.08896797
PEARSON,XGBoost,300,0.9679343,0.1644421,0.8235294,0.09134045
PEARSON,XGBoost,200,0.9681597,0.1654135,0.875,0.09134045
PEARSON,XGBoost,150,0.9680982,0.1597410,0.8862275,0.08778173
PEARSON,XGBoost,100,0.9682416,0.1859244,0.8119266,0.1049822
PEARSON,XGBoost,75,0.9680982,0.2084392,0.7295374,0.1215896
PEARSON,XGBoost,50,,,,
PEARSON,XGBoost,10,0.9654551,0,0,0
PEARSON,XGBoost,5,0.9654551,0,0,0
PEARSON,GradientBoostingClassifier,399,0.9136433,0.9056706,0.9063550,0.9136433
PEARSON,GradientBoostingClassifier,300,0.9134273,0.9053502,0.9060905,0.9134273
PEARSON,GradientBoostingClassifier,200,0.9127795,0.9046556,0.9052836,0.9127795
PEARSON,GradientBoostingClassifier,150,0.9125889,0.9044225,0.9050470,0.9125889
PEARSON,GradientBoostingClassifier,100,0.9112170,0.9020938,0.9033851,0.9112170
PEARSON,GradientBoostingClassifier,75,0.9111026,0.9019939,0.9032354,0.9111026
PEARSON,GradientBoostingClassifier,50,0.9042810,0.8923207,0.8946281,0.9042810
PEARSON,GradientBoostingClassifier,10,0.8800305,0.8566542,0.8584782,0.8800305
PEARSON,GradientBoostingClassifier,5,0.8782774,0.8535461,0.8553035,0.8782774
SPEARMAN,RandomForestClassifier,399,,,,
SPEARMAN,RandomForestClassifier,300,,,,
SPEARMAN,RandomForestClassifier,200,,,,
SPEARMAN,RandomForestClassifier,150,,,,
SPEARMAN,RandomForestClassifier,100,,,,
SPEARMAN,RandomForestClassifier,75,,,,
SPEARMAN,RandomForestClassifier,50,,,,
SPEARMAN,RandomForestClassifier,10,,,,
SPEARMAN,RandomForestClassifier,5,,,,
SPEARMAN,SVC,399,,,,
SPEARMAN,SVC,300,,,,
SPEARMAN,SVC,200,,,,
SPEARMAN,SVC,150,,,,
SPEARMAN,SVC,100,,,,
SPEARMAN,SVC,75,,,,
SPEARMAN,SVC,50,,,,
SPEARMAN,SVC,10,,,,
SPEARMAN,SVC,5,,,,
SPEARMAN,GaussianNB,399,,,,
SPEARMAN,GaussianNB,300,,,,
SPEARMAN,GaussianNB,200,,,,
SPEARMAN,GaussianNB,150,,,,
SPEARMAN,GaussianNB,100,,,,
SPEARMAN,GaussianNB,75,,,,
SPEARMAN,GaussianNB,50,,,,
SPEARMAN,GaussianNB,10,,,,
SPEARMAN,GaussianNB,5,,,,
SPEARMAN,MultGaussianNB,399,,,,
SPEARMAN,MultGaussianNB,300,,,,
SPEARMAN,MultGaussianNB,200,,,,
SPEARMAN,MultGaussianNB,150,,,,
SPEARMAN,MultGaussianNB,100,,,,
SPEARMAN,MultGaussianNB,75,,,,
SPEARMAN,MultGaussianNB,50,,,,
SPEARMAN,MultGaussianNB,10,,,,
SPEARMAN,MultGaussianNB,5,,,,
SPEARMAN,XGBoost,399,,,,
SPEARMAN,XGBoost,300,,,,
SPEARMAN,XGBoost,200,,,,
SPEARMAN,XGBoost,150,,,,
SPEARMAN,XGBoost,100,,,,
SPEARMAN,XGBoost,75,,,,
SPEARMAN,XGBoost,50,,,,
SPEARMAN,XGBoost,10,,,,
SPEARMAN,XGBoost,5,,,,
SPEARMAN,GradientBoostingClassifier,399,,,,
SPEARMAN,GradientBoostingClassifier,300,,,,
SPEARMAN,GradientBoostingClassifier,200,,,,
SPEARMAN,GradientBoostingClassifier,150,,,,
SPEARMAN,GradientBoostingClassifier,100,,,,
SPEARMAN,GradientBoostingClassifier,75,,,,
SPEARMAN,GradientBoostingClassifier,50,,,,
SPEARMAN,GradientBoostingClassifier,10,,,,
SPEARMAN,GradientBoostingClassifier,5,,,,
