selector,model,n_features,training_accuracy_score,training_f1_score,training_precision_score,training_recall_score,test_accuracy_score,test_f1_score_average_weighted,test_precision_score_average_weighted,test_recall_score_average_weighted
GINI,GradientBoostingClassifier,5,0.9054878,0.8940972,0.8961696,0.9054878,0.9642667,0.9516901,0.9477250,0.9642667
INFOGAIN,RandomForestClassifier,399,0.9932673,0.9932662,0.9932651,0.9932673,0.9656190,0.9555130,0.9536854,0.9656190
INFOGAIN,RandomForestClassifier,300,0.9929624,0.9929604,0.9929586,0.9929624,0.9660493,0.9557215,0.9545876,0.9660493
INFOGAIN,RandomForestClassifier,200,0.9920097,0.9920024,0.9919965,0.9920097,0.9651887,0.9549431,0.9526017,0.9651887
INFOGAIN,RandomForestClassifier,150,0.9915269,0.9915165,0.9915086,0.9915269,0.9647584,0.9549435,0.9520598,0.9647584
INFOGAIN,RandomForestClassifier,100,0.9898247,0.9898072,0.9897946,0.9898247,0.9648404,0.9550229,0.9522256,0.9648404
INFOGAIN,RandomForestClassifier,75,0.9891895,0.9891603,0.9891432,0.9891895,0.9657009,0.9566573,0.9545961,0.9657009
INFOGAIN,RandomForestClassifier,50,0.9882495,0.9882254,0.9882083,0.9882495,0.9653731,0.9569432,0.9544671,0.9653731
INFOGAIN,RandomForestClassifier,10,0.9824695,0.9824168,0.9823786,0.9824695,0.9653116,0.9571479,0.9545900,0.9653116
INFOGAIN,RandomForestClassifier,5,0.9737170,0.9736028,0.9735179,0.9737170,0.9608450,0.9557424,0.9522521,0.9608450
INFOGAIN,SVC,399,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,300,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,200,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,150,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,100,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,75,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,50,0.8798908,0.8636571,0.8606540,0.8798908,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,10,0.8789761,0.8599331,0.8579839,0.8789761,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,SVC,5,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,GaussianNB,399,0.4342861,0.4942338,0.8643176,0.4342861,0.5219440,0.6557564,0.9453766,0.5219440
INFOGAIN,GaussianNB,300,0.4230818,0.4812266,0.8644322,0.4230818,0.4741220,0.6122111,0.9455536,0.4741220
INFOGAIN,GaussianNB,200,0.4299543,0.4894485,0.8631506,0.4299543,0.5023972,0.6388274,0.9425126,0.5023972
INFOGAIN,GaussianNB,150,0.3866362,0.4372784,0.8643326,0.3866362,0.4353768,0.5755169,0.9414691,0.4353768
INFOGAIN,GaussianNB,100,0.3686992,0.4142961,0.8659394,0.3686992,0.4170184,0.5571215,0.9408423,0.4170184
INFOGAIN,GaussianNB,75,0.3899898,0.4425994,0.8583032,0.3899898,0.5878990,0.7119326,0.9390703,0.5878990
INFOGAIN,GaussianNB,50,0.2493521,0.2430536,0.8648929,0.2493521,0.2453797,0.3527194,0.9497947,0.2453797
INFOGAIN,GaussianNB,10,0.7780488,0.8025461,0.8432728,0.7780488,0.9643077,0.9483774,0.9374682,0.9643077
INFOGAIN,GaussianNB,5,0.8536204,0.8024588,0.7697502,0.8536204,0.9644306,0.9483251,0.9368074,0.9644306
INFOGAIN,MultinomialNB,399,0.7433816,0.7798588,0.8559192,0.7433816,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,MultinomialNB,300,0.7389101,0.7762225,0.8536786,0.7389101,0.9654551,0.9484862,0.9321035,0.9654551
INFOGAIN,MultinomialNB,200,0.7325330,0.7712190,0.8519248,0.7325330,0.9654551,0.9484862,0.9321035,0.9654551
